date,Ensemble 
2000-3,9.1
2000-6,8.7
2000-9,8.4
2000-12,8.0
2001-3,7.8
2001-6,7.7
2001-9,7.7
2001-12,7.8
2002-3,7.8
2002-6,7.9
2002-9,7.9
2002-12,7.9
2003-3,8.4
2003-6,8.5
2003-9,8.4
2003-12,8.8
2004-3,9.0
2004-6,8.8
2004-9,8.8
2004-12,8.9
2005-3,8.6
2005-6,8.8
2005-9,9.0
2005-12,9.1
2006-3,9.2
2006-6,9.0
2006-9,8.9
2006-12,8.4
2007-3,8.5
2007-6,8.1
2007-9,8.0
2007-12,7.5
2008-3,7.2
2008-6,7.3
2008-9,7.4
2008-12,7.8
2009-3,8.6
2009-6,9.2
2009-9,9.2
2009-12,9.5
2010-3,9.4
2010-6,9.3
2010-9,9.2
2010-12,9.2
2011-3,9.2
2011-6,9.1
2011-9,9.2
2011-12,9.3
2012-3,9.5
2012-6,9.7
2012-9,9.8
2012-12,10.2
2013-3,10.3
2013-6,10.5
2013-9,10.3
2013-12,10.1
2014-3,10.1
2014-6,10.2
2014-9,10.3
2014-12,10.5
2015-3,10.3
2015-6,10.5
2015-9,10.4
2015-12,10.2
2016-3,10.2
2016-6,10.0
2016-9 ,9.9
2016-12 ,10.0
2017-3,9.6
2017-6,9.5
2017-9,9.5
2017-12,9.0
2018-3,9.3
2018-6,9.1
2018-9,8.9
2018-12,8.8
2019-3,8.8
2019-6,8.4
2019-9,8.3
2019-12,8.2
2020-3,7.9
2020-6,7.2
2020-9,9.0
2020-12,8.1
2021-3,8.2
2021-6,7.9
2021-9,7.9
2021-12,7.4
2022-3,7.4
2022-6,7.4
2022-9,7.2
2022-12,7.1
2023-3,7.1
2023-6,7.2
2023-9,7.4
2023-12,7.5
2024-3,7.5
2024-6,7.3
2024-9,7.4
