DATE,rate
2000-03-01,3.25
2000-06-01,3.75
2000-09-01,4.25
2000-12-01,4.25
2001-03-01,4.25
2001-06-01,4.25
2001-09-01,4.25
2001-12-01,4.25
2002-03-01,4.25
2002-06-01,4.25
2002-09-01,4.25
2002-12-01,4.25
2003-03-01,4.25
2003-06-01,4.25
2003-09-01,4.25
2003-12-01,4.25
2004-03-01,4.25
2004-06-01,4.25
2004-09-01,4.25
2004-12-01,4.25
2005-03-01,4.25
2005-06-01,4.25
2005-09-01,4.25
2005-12-01,4.25
2006-03-01,4.25
2006-06-01,4.25
2006-09-01,4.25
2006-12-01,4.25
2007-03-01,4.25
2007-06-01,4.25
2007-09-01,4.25
2007-12-01,4.25
2008-03-01,4.25
2008-06-01,4.25
2008-09-01,4.25
2008-12-01,3.25
2009-03-01,2.0
2009-06-01,1.0
2009-09-01,1.0
2009-12-01,1.0
2010-03-01,1.0
2010-06-01,1.0
2010-09-01,1.0
2010-12-01,1.0
2011-03-01,1.0
2011-06-01,1.25
2011-09-01,1.5
2011-12-01,1.25
2012-03-01,1.0
2012-06-01,1.0
2012-09-01,0.75
2012-12-01,0.75
2013-03-01,0.75
2013-06-01,0.5
2013-09-01,0.5
2013-12-01,0.25
2014-03-01,0.25
2014-06-01,0.25
2014-09-01,0.15
2014-12-01,0.05
2015-03-01,0.05
2015-06-01,0.05
2015-09-01,0.05
2015-12-01,0.05
2016-03-01,0.05
2016-06-01,0.0
2016-09-01,0.0
2016-12-01,0.0
2017-03-01,0.0
2017-06-01,0.0
2017-09-01,0.0
2017-12-01,0.0
2018-03-01,0.0
2018-06-01,0.0
2018-09-01,0.0
2018-12-01,0.0
2019-03-01,0.0
2019-06-01,0.0
2019-09-01,0.0
2019-12-01,0.0
2020-03-01,0.0
2020-06-01,0.0
2020-09-01,0.0
2020-12-01,0.0
2021-03-01,0.0
2021-06-01,0.0
2021-09-01,0.0
2021-12-01,0.0
2022-03-01,0.0
2022-06-01,0.0
2022-09-01,0.5
2022-12-01,2.0
2023-03-01,3.0
2023-06-01,3.75
2023-09-01,4.25
2023-12-01,4.5
2024-03-01,4.5
2024-06-01,4.5
2024-09-01,4.25
2024-12-01,3.4
