Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,,
1999-12-01,6190.9599609375,6190.9599609375,6396.97021484375,5388.85009765625,6024.3798828125,0
2000-03-01,6426.259765625,6426.259765625,6591.43994140625,5752.43994140625,6272.1298828125,0
2000-06-01,6625.419921875,6625.419921875,6780.66015625,6354.93017578125,6428.4599609375,0
2000-09-01,5928.080078125,5928.080078125,6944.77001953125,5828.14013671875,6648.64013671875,0
2000-12-01,5367.47998046875,5367.47998046875,6126.41015625,5302.7900390625,5942.35986328125,0
2001-03-01,5454.18994140625,5454.18994140625,5728.52001953125,4804.39990234375,5334.22998046875,0
2001-06-01,4689.33984375,4689.33984375,5546.60009765625,4668.18994140625,5453.2900390625,0
2001-09-01,4476.06005859375,4476.06005859375,4712.08984375,3463.070068359375,4712.08984375,0
2001-12-01,4462.990234375,4462.990234375,4735.2099609375,4210.2998046875,4439.5498046875,0
2002-03-01,4274.64013671875,4274.64013671875,4696.18017578125,4239.72021484375,4442.39990234375,0
2002-06-01,3366.2099609375,3366.2099609375,4294.5,2898.60009765625,4247.580078125,0
2002-09-01,3326.64990234375,3326.64990234375,3402.300048828125,2612.030029296875,3345.639892578125,0
2002-12-01,2754.070068359375,2754.070068359375,3393.0400390625,2633.18994140625,3327.070068359375,0
2003-03-01,2991.75,2991.75,3070.6201171875,2401.14990234375,2770.679931640625,0
2003-06-01,3311.419921875,3311.419921875,3353.93994140625,2990.320068359375,3018.659912109375,0
2003-09-01,3424.7900390625,3424.7900390625,3472.830078125,3110.929931640625,3335.5400390625,0
2003-12-01,3725.43994140625,3725.43994140625,3765.659912109375,3417.56005859375,3450.659912109375,0
2004-03-01,3669.6298828125,3669.6298828125,3831.5400390625,3489.530029296875,3735.300048828125,0
2004-06-01,3594.280029296875,3594.280029296875,3778.760009765625,3452.409912109375,3668.139892578125,0
2004-09-01,3753.75,3753.75,3856.010009765625,3599.3701171875,3606.080078125,3494019200
2004-12-01,4027.159912109375,4027.159912109375,4056.68994140625,3735.550048828125,3751.739990234375,5633836600
2005-03-01,4120.72998046875,4120.72998046875,4143.93017578125,3882.419921875,4025.840087890625,5888623200
2005-06-01,4399.35986328125,4399.35986328125,4527.10986328125,4089.27001953125,4125.85009765625,6118068600
2005-09-01,4567.41015625,4567.41015625,4651.10986328125,4288.14990234375,4423.7001953125,6628070600
2005-12-01,5000.4501953125,5000.4501953125,5085.2001953125,4580.18017578125,4581.72998046875,6789223400
2006-03-01,4930.18017578125,4930.18017578125,5329.16015625,4798.81005859375,5008.7099609375,8083382400
2006-06-01,5165.0400390625,5165.0400390625,5196.91015625,4564.68994140625,4927.1298828125,7426645400
2006-09-01,5327.64013671875,5327.64013671875,5518.43017578125,5018.18017578125,5181.97998046875,7284916800
2006-12-01,5516.31982421875,5516.31982421875,5771.68994140625,5239.83984375,5341.6201171875,7699723400
2007-03-01,6104.0,6104.0,6121.8701171875,5295.580078125,5502.08984375,8271755100
2007-06-01,5662.7001953125,5662.7001953125,6168.14990234375,5217.7001953125,6113.18017578125,9968907400
2007-09-01,5670.56982421875,5670.56982421875,5882.06982421875,5358.759765625,5683.10009765625,9900013300
2007-12-01,4790.66015625,4790.66015625,5795.22021484375,4505.14013671875,5654.10009765625,10884783800
2008-03-01,5014.27978515625,5014.27978515625,5142.10009765625,4416.7099609375,4723.22021484375,9510226100
2008-06-01,4482.60009765625,4482.60009765625,5012.009765625,4002.8701171875,5008.93994140625,10879115300
2008-09-01,3262.679931640625,3262.679931640625,4558.56005859375,2838.5,4455.58984375,14501152500
2008-12-01,2702.47998046875,2702.47998046875,3426.0400390625,2644.18994140625,3261.330078125,8892561000
2009-03-01,3277.64990234375,3277.64990234375,3355.949951171875,2465.4599609375,2632.919921875,10471577700
2009-06-01,3653.5400390625,3653.5400390625,3724.340087890625,2957.830078125,3339.3798828125,8376197000
2009-09-01,3680.14990234375,3680.14990234375,3913.81005859375,3535.489990234375,3676.949951171875,9616104500
2009-12-01,3708.800048828125,3708.800048828125,4088.179931640625,3545.909912109375,3720.280029296875,7915465300
2010-03-01,3507.56005859375,3507.56005859375,4086.0,3287.570068359375,3739.56005859375,10420871000
2010-06-01,3490.7900390625,3490.7900390625,3802.93994140625,3321.35009765625,3481.659912109375,9102669900
2010-09-01,3610.43994140625,3610.43994140625,3961.699951171875,3478.85009765625,3507.8701171875,8802387100
2010-12-01,4110.35009765625,4110.35009765625,4169.8701171875,3620.639892578125,3634.610107421875,8418697800
2011-03-01,4006.93994140625,4006.93994140625,4145.72998046875,3693.93994140625,4126.66015625,7647023800
2011-06-01,3256.760009765625,3256.760009765625,4023.590087890625,2891.110107421875,4014.840087890625,11579432400
2011-09-01,3154.6201171875,3154.6201171875,3411.219970703125,2693.2099609375,3273.050048828125,12052702800
2011-12-01,3452.449951171875,3452.449951171875,3489.47998046875,2941.39990234375,3151.35009765625,8996881200
2012-03-01,3017.010009765625,3017.010009765625,3600.47998046875,2970.10009765625,3444.530029296875,10733492000
2012-06-01,3413.070068359375,3413.070068359375,3523.85009765625,2922.260009765625,3028.300048828125,10497651800
2012-09-01,3557.280029296875,3557.280029296875,3588.02001953125,3341.52001953125,3401.9599609375,9630483000
2012-12-01,3723.0,3723.0,3793.260009765625,3563.02001953125,3567.89990234375,6533913200
2013-03-01,3948.590087890625,3948.590087890625,4072.239990234375,3584.3798828125,3712.419921875,6596919600
2013-06-01,3933.780029296875,3933.780029296875,4123.89013671875,3575.169921875,3929.679931640625,5840483000
2013-09-01,4295.2099609375,4295.2099609375,4356.27978515625,3927.6298828125,3974.7900390625,5716606500
2013-12-01,4408.080078125,4408.080078125,4420.93994140625,4051.25,4294.64990234375,6580422700
2014-03-01,4519.56982421875,4519.56982421875,4536.830078125,4183.0,4338.7900390625,7333198200
2014-06-01,4381.0400390625,4381.0400390625,4598.64990234375,4109.31005859375,4523.89990234375,6946545900
2014-09-01,4390.18017578125,4390.18017578125,4509.580078125,3789.110107421875,4383.6201171875,8454400300
2014-12-01,4951.47998046875,4951.47998046875,4951.47998046875,3926.340087890625,4354.18994140625,8027662200
2015-03-01,5007.89013671875,5007.89013671875,5283.7099609375,4856.14013671875,4937.43017578125,8076098400
2015-06-01,4652.9501953125,4652.9501953125,5217.7998046875,4230.490234375,5029.0498046875,8073160000
2015-09-01,4957.60009765625,4957.60009765625,5011.64990234375,4278.56982421875,4586.330078125,7962226700
2015-12-01,4353.5498046875,4353.5498046875,4975.7099609375,3892.4599609375,4960.3798828125,8273172800
2016-03-01,4505.6201171875,4505.6201171875,4607.68994140625,4229.1201171875,4343.93017578125,7085484900
2016-06-01,4438.22021484375,4438.22021484375,4528.0,4007.969970703125,4502.83984375,6700164100
2016-09-01,4578.33984375,4578.33984375,4606.66015625,4310.8798828125,4448.02978515625,6500240600
2016-12-01,4858.580078125,4858.580078125,4932.35009765625,4490.14990234375,4571.2001953125,5912500500
2017-03-01,5283.6298828125,5283.6298828125,5442.10009765625,4897.47998046875,4897.47998046875,6519391900
2017-06-01,5085.58984375,5085.58984375,5372.97021484375,4995.06982421875,5290.83984375,5155695900
2017-09-01,5372.7900390625,5372.7900390625,5536.39990234375,5050.08984375,5117.18994140625,5153321500
2017-12-01,5320.490234375,5320.490234375,5567.02978515625,5051.2099609375,5374.1298828125,5055731700
2018-03-01,5398.39990234375,5398.39990234375,5657.43994140625,5038.1201171875,5304.81005859375,5329949700
2018-06-01,5406.85009765625,5406.85009765625,5560.6201171875,5242.64013671875,5440.419921875,5151949700
2018-09-01,5003.919921875,5003.919921875,5546.7998046875,4894.2998046875,5400.7001953125,5841838800
2018-12-01,5240.52978515625,5240.52978515625,5248.5,4555.990234375,5112.580078125,5245455300
2019-03-01,5207.6298828125,5207.6298828125,5601.3798828125,5160.91015625,5267.14013671875,5202783800
2019-06-01,5480.47998046875,5480.47998046875,5672.77001953125,5152.2998046875,5171.60986328125,4965626300
2019-09-01,5905.169921875,5905.169921875,5966.7900390625,5393.490234375,5483.43017578125,5200645000
2019-12-01,5309.89990234375,5309.89990234375,6111.41015625,5229.56005859375,5910.1201171875,5349765300
2020-03-01,4695.43994140625,4695.43994140625,5509.27978515625,3632.06005859375,5416.02001953125,9187245800
2020-06-01,4947.22021484375,4947.22021484375,5213.669921875,4691.81005859375,4776.72021484375,6226327900
2020-09-01,5518.5498046875,5518.5498046875,5612.759765625,4512.56982421875,4974.419921875,3756880500
2020-12-01,5703.22021484375,5703.22021484375,5834.35986328125,5306.580078125,5542.4599609375,4252875900
2021-03-01,6447.169921875,6447.169921875,6496.31982421875,5755.60009765625,5770.89013671875,4328748200
2021-06-01,6680.18017578125,6680.18017578125,6913.669921875,6253.25,6470.419921875,4041519600
2021-09-01,6721.16015625,6721.16015625,7183.080078125,6389.6201171875,6736.43994140625,5329183600
2021-12-01,6658.830078125,6658.830078125,7384.85986328125,6432.89013671875,6774.7998046875,4888519000
2022-03-01,6468.7998046875,6468.7998046875,6829.39990234375,5756.3798828125,6646.16015625,6437660900
2022-06-01,6125.10009765625,6125.10009765625,6608.830078125,5786.5,6509.18994140625,4830880200
2022-09-01,6738.5498046875,6738.5498046875,6743.60009765625,5628.419921875,6068.33984375,4984401200
2022-12-01,7267.93017578125,7267.93017578125,7387.2900390625,6388.22998046875,6784.60009765625,4469091100
2023-03-01,7098.7001953125,7098.7001953125,7581.259765625,6796.2099609375,7279.33984375,4435794800
2023-06-01,7316.7001953125,7316.7001953125,7526.0498046875,7052.77001953125,7139.39013671875,3365960800
2023-09-01,7310.77001953125,7310.77001953125,7435.35986328125,6773.81982421875,7310.68017578125,3404977500
2023-12-01,7927.43017578125,7927.43017578125,7977.68017578125,7281.10009765625,7336.5498046875,3446297300
2024-03-01,7992.8701171875,7992.8701171875,8259.1904296875,7899.35986328125,7950.66015625,3583139900
2024-06-01,7630.9501953125,7630.9501953125,8072.31005859375,7029.91015625,8069.6201171875,3907895200
2024-09-01,7235.10986328125,7235.10986328125,7804.64013671875,7091.14990234375,7628.85986328125,4067286500
2024-12-01,7280.85986328125,7280.85986328125,7319.8701171875,7146.02001953125,7147.3701171875,172000400
